file_path,transcription
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry001_spk001.wav,"Megshopping ku napun, oneng asna kamal ngan."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry002_spk001.wav,Asubukan mu nang mengutang bawas?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry003_spk001.wav,"Wa, sabi ku, “pweding dinan bawas nung marakal ku salwan?”"
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry004_spk001.wav,Sinabi da apin na ita ing presyu.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry005_spk001.wav,"Kasakit na, parati ku kasing lalawe presyu online bayu sali."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry006_spk001.wav,Yaku rin. Misan mas mura pa online kesa pisalwanan.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry007_spk001.wav,Tutu. Tatanggap la namang gcash?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry008_spk001.wav,"Wa, tanggap lang gcash ampon credit cards."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry009_spk001.wav,"Awa, misan akalingwan ke ing pitaka ku anya e ku mekapamayad counter."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry010_spk001.wav,Aru! Peburen daka ban mamabayad kabalik?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry011_spk001.wav,"Wa, oneng makarine. Mas masanting ing ligtas kesa keng magsisi."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry012_spk001.wav,Mekatadwa ka mesingil keng metung a bage?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry013_spk001.wav,"Wa! Yaku mu naman anyang milabas a bulan, mengutang kung refund."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry014_spk001.wav,Kalambat da reng refund e.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry015_spk001.wav,Inya pin mas buri kung gumamit cash patse malyari.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry016_spk001.wav,"Patse atin kang loyalty card, mamye lang puntos ustung sali ka."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry017_spk001.wav,Tutu. Menipun kung puntus para keng libri.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry018_spk001.wav,"Maswerti ka! Kanita, apitna ke ing sweldu ku kareng gadyet."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry019_spk001.wav,Susubukan ku ping mamadyet ngeni oneng e na milyari.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat07_entry020_spk001.wav,Makanyan ku naman. Masanting nang magplanu kesa magisan ing pera.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry001_spk001.wav,O! Komusta naka?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry002_spk001.wav,"Mayap kumu, okupadu mu keng obra."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry003_spk001.wav,Awa yaku man. Lilibut ka ata?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry004_spk001.wav,"E masyadu, atyu kumu maralas bale."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry005_spk001.wav,"Awa, misan mas masanting magrelax."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry006_spk001.wav,Tutu! Akayabe mu la pa reng kaluguran ta kanita?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry007_spk001.wav,"Wa, mikit kami balang kadwang duminggu."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry008_spk001.wav,Awa santing! Amiss kula reng pamitipun.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry009_spk001.wav,Tuki ka keng tutuki!
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry010_spk001.wav,Buri ke ita. Mumunta ka kareng cafe kanita?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry011_spk001.wav,"Wa, itang malapit king park."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry012_spk001.wav,Buri ku keng lugal ayta.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry013_spk001.wav,Taimik karin at manyaman ing kape.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry014_spk001.wav,Asubukan mu ne ing bayu dang menu?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry015_spk001.wav,"Ali pa, metung mu ing oorderan ku keta."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry016_spk001.wav,"Yaku rin, e ku maglibe order."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry017_spk001.wav,Lumibut tamu keng tutuking duminggu.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry018_spk001.wav,Kasaya na nita! Nanung aldo ing magsilbi ka?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry019_spk001.wav,Sabadu ing masanting.
data/Cleaned_Audio_Files/(001) Dhanezielle/cat08_entry020_spk001.wav,"Awa, pabalwan daka keng detalye."
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry001_spk001.wav,Komusta na ka?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry002_spk001.wav,Nokarin ka makatuknang?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry003_spk001.wav,"Ot kaburi mung panigaralan ing Spanish ngeni, kaybat dareng milabas a banwa?"
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry004_spk001.wav,Kapilan mu araramdaman a masipag ka neng abak o neng bengi na?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry005_spk001.wav,Ninung menuru keka nung makananung maglutung manyaman a pasta?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry006_spk001.wav,Nanung klasing libru ing buri mung babasan istung ala kang gagawan?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry007_spk001.wav,Nokaring pipanganan ing pupuntalan mu neng bisa kang mangang maparas a pamangan?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry008_spk001.wav,Makananu meng sasamasan ing oras mu ban maging yang masalese agyang okupadu ka iskedyul?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry009_spk001.wav,Ot ali ka minta keng pamitipun napun? Masalese na ngan?
data/Cleaned_Audio_Files/(001) Dhanezielle/cat09_entry010_spk001.wav,"Nokarin ka meragul, ampon makananu ya ing kayanakan mu kanita?"
