file_path,transcription
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry001_spk002.m4a,Masala at mapali ing aldo ngeni. Perpektu para keng pamagbisikleta o piknik.
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry002_spk002.m4a,"Wa, masanting ing panaun ban lumwal at magsaya."
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry003_spk002.m4a,Maralas kung magdalang payung nung mauran ing panaun uling ing biglang uran karaniwan ya mu keng lugar mi.
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry004_spk002.m4a,"Neng masikan ing uran, manatili kami mu kilub at manalbe kareng patak ning uran keng bubungan."
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry005_spk002.m4a,"Masikan ing angin nabengi, mesira la ding mapilan a sanga ning dutung!"
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry006_spk002.m4a,Kekami rin! Deng bulung atyu la keng dalan.
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry007_spk002.m4a,"Neng panaun ning kaleldo, ing dikut maging kayumanggi la ampo ing egana-gana maalikabuk la."
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry008_spk002.m4a,"Wa, anyang ditak mu ing uran, adyang ing gabun lupa yang mapagal."
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry009_spk002.m4a,"Napun, ating bagyu. Atin masikan a duldul ampo kildap keng mabilug a bengi."
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry010_spk002.m4a,Balu ku! Ing banua makatakut ya pero metung yang bage a makapagmulala.
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry011_spk002.m4a,Buri ku nung makananu yang mas marimla ing angin balang abak.
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry012_spk002.m4a,"Lakwas na nung e pa matas ing aldo, presku ya."
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry013_spk002.m4a,"King bale, magrecycle kaming bote ampong papel ban makasaup king kapaligiran."
C:\Users\Angelica\Documents\GitHub\Pamagsalin_Model_Training\data\Audio_Files\(002) Trishelle\cat04_entry014_spk002.m4a,I kami man. Deng mangalating bage atin lang maragul a epektu.
