kapampangan,english
sopan yu ku!,help!
tuto?,really?
kutnan me.,ask him.
mako ka ken.,go away.
yaku man.,"me, too."
tuknang ka!,shut up!
mabating ka!,get lost!
samalan mu.,hurry up.
masakit ku.,i'm sick.
mako tana!,let's go!
tara na!,let's go!
talakad ka!,stand up!
tikdo ka!,stand up!
kinyak ya i tom.,tom wept.
gamitan me ini.,use this.
eka mangutang.,don't ask.
makilabas ku.,excuse me.
panupaya yuku.,excuse me.
uwa naman!,of course!
salamat.,thank you.
masaya ku.,i am happy.
kaluguran daka.,i love you.
kaylangan daka.,i need you.
kaku ya.,she's mine.
sake kang bus.,take a bus.
awala miya.,we lost it.
nanu ya?,what is it?
ninung pwedi?,who's free?
mamumurit na ka?,are you mad?
eka migaganaka.,don't worry.
komusta na ka?,how are you?
keni ku makatuknang.,i live here.
atyu ku king bale.,i'm at home.
atyu ku king kekami.,i'm at home.
atyu ku king bale mi.,i'm at home.
mananabu ku.,i'm falling.
mawa kung danum.,i'm thirsty.
keka yayni?,is it yours?
gawan taya!,let's do it!
gawan taya.,let's do it.
mako tana?,shall we go?
okupadu ya i tom.,tom is busy.
dakal ya gagawan i tom.,tom is busy.
atyu king lalam i tom.,tom is down.
nanu ya ini?,what's this?
siguradu ka?,are you sure?
miratang ka?,can you come?
miminum kang alak?,do you drink?
mayap a bengi.,good evening.
eku balu.,i don't know.
tabalu.,i don't know.
tabalu ta .,i don't know.
buri ku ing kendi.,i like candy.
mapamasa ku.,i read a lot.
bisa kung tuki.,i want to go.
kalaraman ita.,it was a lie.
mumuran.,it's raining.
eta mumunta.,let's not go.
linukluk la ngan.,they all sat.
linub la.,they came in.
sinuku la.,they gave up.
muna ka.,you go first.
makasadya na ka?,are you ready?
mapagal ka?,are you tired?
paniwalan daka.,i believe you.
paniwalan dakayu.,i believe you.
sibli ke.,i put it back.
binye de mu.,it was a gift.
basta mibalik ka.,just get back.
busni taya.,let's open it.
pakiramdaman me i tom.,listen to tom.
gawan mu na.,now you do it.
ustu na.,that's enough.
yan ing asu ku.,that's my dog.
mete la ngan.,they all died.
balu ra ngan.,they all knew.
balu ra ngan.,they all know.
meko la ngan.,they all left.
tinikdo la ngan.,they all rose.
makasaup la.,they can help.
makapanaya la.,they can wait.
linarin de.,they fixed it.
ikit dakami.,they found us.
apayntun dakami.,they found us.
magbotu ya i tom.,tom is voting.
atin kaming planu.,we have plans.
atin tamung planu.,we have plans.
nukarin ka?,where are you?
agyu mu.,you can do it.
ika ing mamayad.,you're paying.
danupan ka?,are you hungry?
maranup ka?,are you hungry?
malyari dakang sopan?,can i help you?
agyu tayang sabatan?,can we stop it?
kilala raka?,do we know you?
kaluguran muko?,do you love me?
eka mababating.,don't get lost.
emu sasabian kaya.,don't tell him.
masaplalang bayung banwa!,happy new year!
isalikut me ing librung yan.,hide that book.
miparakal ku pengan.,i ate too much.
ala kung panaun.,i have no time.
kaylangan kung magobra.,i need to work.
manigaral kung koreanu.,i study korean.
ligtas na ngene?,is it safe now?
malyari yang kanan yan?,is that edible?
e makatakot?,isn't it scary?
masyadu yang maragul.,it's too large.
batingan mu ku!,leave me alone!
buren mukung mag-isplika.,let me explain.
buren yukung mag-isplika.,let me explain.
imulagat mo reng mata mu.,open your eyes.
minum la ngan.,they all drank.
tinikdo la ngan.,they all stood.
parehu lang mete.,they both died.
parehu lang magobra.,they both work.
pangabalanan daku.,they bother me.
seli de.,they bought it.
kitkut de.,they buried it.
inaus daku.,they called me.
mibalik la.,they came back.
arakap daku.,they caught me.
apayntun de i tom.,they found tom.
ikit de i tom.,they found tom.
minum yang gatas i tom.,tom drank milk.
masyadu kang maragul.,you're too big.
talasawa ka?,are you married?
maus kang pulis!,call the police!
pagmananwan daka.,congratulations!
pagmananwan dakayu.,congratulations!
minuli ya i tom?,did tom go home?
mamangan kang karne?,do you eat meat?
kilala me?,do you know her?
bisa kang tsa?,do you like tea?
pilan nakang banwa?,how old are you?
mapagal kung mapagal.,i am very tired.
atin kung adwang pusa.,i have two cats.
buri ke ing pusang yan.,i want that cat.
mestru ku kanita.,i was a teacher.
mestra ku kanita.,i was a teacher.
talaturu ku kanita.,i was a teacher.
manaya ku.,i'll be waiting.
eku mataloti.,i'm not chicken.
migkamali ku.,i've been wrong.
sinawa naku.,i've had enough.
lupa yang makatula.,it looked funny.
magyelu.,it was freezing.
makapagmulala ya.,it's phenomenal.
masayang pasku!,merry christmas!
mapekat ing natto.,natto is sticky.
sinunga la ngan.,they all gasped.
linawe la ngan.,they all looked.
tiniman la ngan.,they all smiled.
migsalita la ngan.,they all talked.
linakad la ngan.,they all walked.
paniwalan da.,they believe it.
malyari lang magbayu.,they can change.
arakap de i tom.,they caught tom.
ela pinulayi.,they didn't run.
ala lang pakyalam.,they don't care.
ela sasaup.,they don't help.
migmaneu la pauli.,they drove home.
ikit de ini.,they found this.
kabayu ya ini.,this is a horse.
ala yang kabalu-balu i tom.,tom is clueless.
kakawe ya i tom.,tom is swimming.
lupa yang mwa i tom.,tom looks angry.
malyaring mibalik ne i tom.,tom may be back.
malyaring menasakit ya i tom.,tom may be hurt.
mebulag ya i tom.,tom was blinded.
e miya akakit.,we can't see it.
nukarin ya ing asu ku?,where is my dog?
lupa kang mulala.,you look stupid.
sinulat ku yan?,did i write that?
keni ka makatuknang?,do you live here?
keni kayu pu makatuknang?,do you live here?
keni ko pu makatuknang?,do you live here?
buri na ing mamadwas.,he loves fishing.
buri na ing manasan.,he loves fishing.
eke buri.,i didn't like it.
king palage ku mete ya i tom.,i think tom died.
bisa kung pamangan.,i want some food.
eku doktor.,i'm not a doctor.
pagmaragul daka!,i'm proud of you.
susulat ku.,i'm taking notes.
posibli ine?,is this possible?
atyu king bale ing ima mo?,is your mom home?
kasalanan na.,it was his fault.
kasalana'na.,it was his fault.
alang mamayad keni.,no one here pays.
linub la ngan.,they all entered.
ginalikgik la ngan.,they all giggled.
tinuknang la ngan.,they all stopped.
menalbe la ngan.,they all watched.
lupa lang mete na.,they appear dead.
ela mete.,they aren't dead.
ala lu keni.,they aren't here.
ela makwalta.,they aren't rich.
paniwalan daka.,they believe you.
paniwalan dakayu.,they believe you.
pareu lang tiniman.,they both smiled.
apayntun de i tom.,they'll find tom.
kaku ya ining asu.,this dog is mine.
alas dos medya kami manyara.,we close at 2:30.
atin kaming letratu.,we have pictures.
manaya kami.,we'll be waiting.
nanung buri mu?,what do you want?
nukarin ya ing asu?,where is the dog?
ninung pete mu?,who did you kill?
ninung manibala.,who's in command?
eka maglaram.,you wouldn't lie.
atyu keni ing ima mu.,your mom is here.
istudyanti ka?,are you a student?
makapaglambat ka?,can you stay long?
balu mu ita?,did you know that?
mete ya napun.,he died yesterday.
yaku man buri ku ing kendi.,i also like candy.
ala kung utang.,i am free of debt.
e raka sasangkanan.,i don't blame you.
masakit ku buntuk.,i have a headache.
yaku man buri ku ing kendi.,"i like candy, too."
atatandanan ku ngan.,i remember it all.
akakit dakang mamasa.,i see you reading.
panayan daka.,i'll wait for you.
sulatanan ke i tom.,i'll write to tom.
mikasing-edad kata.,i'm as old as you.
e malyaring tutu ita,it cannot be true.
talabaldugan ya.,it's a dictionary.
eku kasalanan.,it's not my fault.
busni taya.,let's get it open.
siguru mwa ya.,she must be angry.
inuman me ing panulu.,take the medicine.
mekiramdam la ngan.,they all listened.
ginulisak la ngan.,they all screamed.
balu ra na.,they already knew.
balu ra na.,they already know.
meko na la.,they already left.
ala lu karin.,they aren't there.
ela kambal.,they aren't twins.
dekap de i tom.,they arrested tom.
dekap de.,they arrested her.
dekap de.,they arrested him.
inarestu de.,they arrested him.
peniwalan de i tom.,they believed tom.
pareu lang menguku.,they both coughed.
pareu lang ginalikgik.,they both giggled.
ela makatakas.,they can't escape.
arakap de i tom.,they captured tom.
ela makiramdam.,they don't listen.
minum lang kape.,they drank coffee.
binite de i tom.,they executed tom.
bandang tawli meko la.,they finally left.
tikyan de i tom.,they followed tom.
tikyan daka.,they followed you.
kaylangan dang magsalita.,they need to talk.
masyadu yang mabilis mangan i tom.,tom eats too fast.
binye neng tom kekami.,tom gave it to us.
tawli yang miratang keni i tom.,tom got here late.
alutas taya ini.,we can solve this.
alutas miya ini.,we can solve this.
presu kami.,we were prisoners.
makasukul kami.,we were prisoners.
sinambut kami king labanan.,we won the battle.
ninanu ka?,what got into you?
nanu ka lagyu?,what is your name?
nanu ka lagyu?,what is your name?
nukarin ka makatuknang?,where do you live?
kaninu ya bag ini?,whose bag is this?
obat makanyan?,why would that be?
kaluguran daka.,you are my friend.
tuki ka kekami.,come along with us.
"lungub ka, makabusni ya.","come in, it's open."
buri mo reng mansanas?,do you like apples?
atatandanan muko?,do you remember me?
emu sasabian king asawa ku.,don't tell my wife.
buri re ngan.,everyone likes him.
deng eganagana buri re.,everyone likes him.
animal la reng kabayu.,horses are animals.
