kapampangan,english,
Sakoru!,Help!,
Tuto?,Really?,
Kutang mu kaya.,Ask him.,
Mako ka ken.,Go away.,
Yaku man.,"Me, too.",
Patugut ka!,Shut up!,
Mabating ka!,Get lost!,
Lagwa mu.,Hurry up.,
Masakit ku.,I'm sick.,
Mako tana!,Let's go!,
Tara na!,Let's go!,
Talakad ka!,Stand up!,
Tikdo ka!,Stand up!,
Kinyak ya i Tom.,Tom wept.,
Gamitan me ini.,Use this.,
Emu kukutang.,Don't ask.,
Makilabas ku.,Excuse me.,
Panupaya yuku.,Excuse me.,
Siempre!,Of course!,
Salamat.,Thank you.,
Masaya ku.,I am happy.,
Kaluguran daka.,I love you.,
Kaylangan daka.,I need you.,
Kaku ya.,She's mine.,
Mag-bus ka.,Take a bus.,
Abating miya.,We lost it.,
Nanu ya?,What is it?,
Ninung libri?,Who's free?,
Ninung timawa?,Who's free?,
Mamulang ka?,Are you mad?,
Eka migaganaka.,Don't worry.,
Komusta ka?,How are you?,
Ninu ika?,How are you?,
Keni ku makatuknang.,I live here.,
Atyu ku king bale.,I'm at home.,
Atyu ku king kekami.,I'm at home.,
Atyu ku king bale mi.,I'm at home.,
Mananabu ku.,I'm falling.,
Mawa kung danum.,I'm thirsty.,
Keka ya?,Is it yours?,
Gawan taya!,Let's do it!,
Gawan taya.,Let's do it.,
Mako tana?,Shall we go?,
Okupadu ya i Tom.,Tom is busy.,
Abala ya i Tom.,Tom is busy.,
Atyu king lalam i Tom.,Tom is down.,
Nanu ya ini?,What's this?,
Siguradu ka?,Are you sure?,
Miratang ka?,Can you come?,
Miminum kang alak?,Do you drink?,
Mayap a bengi.,Good evening.,
Eku balu.,I don't know.,
Tabalu.,I don't know.,
Tabalu ta .,I don't know.,
Buri ku ing kendi.,I like candy.,
Mapamasa ku.,I read a lot.,
Bisa kung munta.,I want to go.,
Kalaraman ita.,It was a lie.,
Mumuran.,It's raining.,
E tamu pupunta.,Let's not go.,
Linukluk la ngan.,They all sat.,
Linub la.,They came in.,
Sinuku la.,They gave up.,
Muna ka.,You go first.,
Makasadya na ka?,Are you ready?,
Mapagal ka?,Are you tired?,
Paniwalan daka.,I believe you.,
Paniwalan dakayu.,I believe you.,
Sibli ke.,I put it back.,
Regalu ya.,It was a gift.,
Basta mibalik ka.,Just get back.,
Busni taya.,Let's open it.,
Pakiramdaman me i Tom.,Listen to Tom.,
Gawan mu na.,Now you do it.,
Ustu na.,That's enough.,
Yan ing asu ku.,That's my dog.,
Mete la ngan.,They all died.,
Balu ra ngan.,They all knew.,
Balu ra ngan.,They all know.,
Meko la ngan.,They all left.,
Tinikdo la ngan.,They all rose.,
Makasaup la.,They can help.,
Makapanaya la.,They can wait.,
Linarin de.,They fixed it.,
Ikit dakami.,They found us.,
Apayntun dakami.,They found us.,
Magbotu ya i Tom.,Tom is voting.,
Atin kaming planu.,We have plans.,
Atin tamung planu.,We have plans.,
Nukarin ka?,Where are you?,
Agyu mu.,You can do it.,
Ika ing mamayad.,You're paying.,
Danupan ka?,Are you hungry?,
Maranup ka?,Are you hungry?,
Malyari dakang sopan?,Can I help you?,
Agyu tayang sabatan?,Can we stop it?,
Kilala raka?,Do we know you?,
Kaluguran muko?,Do you love me?,
Eka mababating.,Don't get lost.,
Emu sasabian kaya.,Don't tell him.,
Masaplalang Bayung Banwa!,Happy New Year!,
Isalikut me ing librung yan.,Hide that book.,
Miparakal ku pengan.,I ate too much.,
Ala kung panaun.,I have no time.,
Kaylangan kung magobra.,I need to work.,
Manigaral kung Koreanu.,I study Korean.,
Ligtas na ngene?,Is it safe now?,
Malyari yang kanan yan?,Is that edible?,
E makatakot?,Isn't it scary?,
Masyadu yang maragul.,It's too large.,
Lakwan muku!,Leave me alone!,
