file_path,transcription
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry001_spk013.wav,"My name is Joaquin, and I’m very pleased to meet you today at this wonderful community gathering."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry001_spk014.wav,"My name is Joaquin, and I’m very pleased to meet you today at this wonderful community gathering."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry001_spk015.wav,"My name is Joaquin, and I’m very pleased to meet you today at this wonderful community gathering."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry002_spk013.wav,Hello there! I’m new to the neighborhood and just wanted to introduce myself to everyone I might see regularly.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry002_spk014.wav,Hello there! I’m new to the neighborhood and just wanted to introduce myself to everyone I might see regularly.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry002_spk015.wav,Hello there! I’m new to the neighborhood and just wanted to introduce myself to everyone I might see regularly.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry003_spk013.wav,It’s always polite to say good afternoon when you walk into a room or meet someone for the first time.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry003_spk014.wav,It’s always polite to say good afternoon when you walk into a room or meet someone for the first time.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry003_spk015.wav,It’s always polite to say good afternoon when you walk into a room or meet someone for the first time.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry004_spk013.wav,"In our culture, a handshake is a common way to greet someone, especially during formal introductions or meetings."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry004_spk014.wav,"In our culture, a handshake is a common way to greet someone, especially during formal introductions or meetings."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry004_spk015.wav,"In our culture, a handshake is a common way to greet someone, especially during formal introductions or meetings."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry005_spk013.wav,"When you meet someone for the first time, it’s nice to smile, make eye contact, and ask how their day has been."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry005_spk014.wav,"When you meet someone for the first time, it’s nice to smile, make eye contact, and ask how their day has been."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry005_spk015.wav,"When you meet someone for the first time, it’s nice to smile, make eye contact, and ask how their day has been."
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry006_spk013.wav,I’m glad to finally meet you! I’ve heard so much about your work and how helpful you are to others.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry006_spk014.wav,I’m glad to finally meet you! I’ve heard so much about your work and how helpful you are to others.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry006_spk015.wav,I’m glad to finally meet you! I’ve heard so much about your work and how helpful you are to others.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry007_spk013.wav,I usually say “How are you?” or “How have you been?” to express care and interest in someone’s well-being.
D:\Github\Project\Pamagsalin_Model_Training\data\validated_audio\cat03_entry007_spk014.wav,I usually say “How are you?” or “How have you been?” to express care and interest in someone’s well-being.
